description,price,rating,review_count,url
"Samsung Galaxy S21+ Plus 5G G996U Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 128GB, Phantom Violet, T-Mobile Locked (Renewed)","$539.00,$599.99",4.2 out of 5 stars,37,https://www.amazon.com/Samsung-Galaxy-S21-5G-Smartphone/dp/B093HG4Y48
"SAMSUNG Galaxy S21 Ultra 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 8K Video 108MP High Res, Phantom Silver","$1,199.99",4.7 out of 5 stars,"1,034",https://www.amazon.com/Samsung-Unlocked-Smartphone-Pro-Grade-SM-G998UZSAXAA/dp/B08N3BYNDN
"Apple iPhone 11 Pro, 64GB, Midnight Green - for Boost Mobile (Renewed)","$489.99,$520.28",4.3 out of 5 stars,21,https://www.amazon.com/Apple-iPhone-64GB-Midnight-Green/dp/B085TFYN81
"Apple iPhone 11 Pro, 64GB, Gold - for Boost Mobile (Renewed)",$539.99,5.0 out of 5 stars,2,https://www.amazon.com/Apple-iPhone-Pro-64GB-Gold/dp/B085TCTBKH
"(Renewed) Apple iPhone XR, 64GB, Coral - Unlocked","$266.00,$290.00",4.5 out of 5 stars,"42,223",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P9765VS
"Apple iPhone 12, 128GB, Black - Unlocked (Renewed Premium)",$748.00,5.0 out of 5 stars,1,https://www.amazon.com/Apple-iPhone-12-128GB-Black/dp/B09JF9VFCG
"Apple iPhone 11 [64GB, Black] + Carrier Subscription [Cricket Wireless]",$599.00,4.4 out of 5 stars,219,https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B0844NJJF3
"i12 Pro MAX Unlocked Smartphone, 6.26in HD Screen Mobile Phone, 1+8G Dual Sim Cell Phone for Android 8.1 Gold(US)",$120.99,2.3 out of 5 stars,281,https://www.amazon.com/Unlocked-Smartphone-6-26in-Screen-Android/dp/B08RZ4D19Y
"Apple iPhone 11 Pro, 64GB, Gold - for T-Mobile (Renewed)",$539.99,,,https://www.amazon.com/Apple-iPhone-Pro-64GB-Gold/dp/B085T4YN7Y
"Rugged Smartphone, 13200mAh Large Battery, Ulefone Power Armor 13 8GB + 256GB Android 11 FHD+ 6.81"", Octa-core 48MP Quad Camera, NFC OTG Wireless Reverse Charging, IP68 Waterproof Unlocked Cell Phone",$399.99,3.8 out of 5 stars,55,https://www.amazon.com/Smartphone-Ulefone-Power-Armor-13/dp/B09CYQKVNS
