headline,source,posted,description,link
Apple's MagSafe Battery Pack costs $99 - this one on Amazon is $31,BGR,40 minutes ago,Apple released its new MagSafe Battery Pack last year for the   series. It attaches to any... ,https://bgr.com/deals/apples-magsafe-battery-pack-costs-99-this-one-on-amazon-is-31/
Renewed   deals start at $450 today if you hurry,BGR,5 days ago,Anyone who has ever tried a phone from Apple’s   lineup will tell you the same thing. The  ,https://bgr.com/deals/renewed-iphone-12-deals-start-at-450-today-if-you-hurry/
End of 3G service: AT&T will shut down its 3G network Feb. 22. How will it affect you?,USA TODAY via Yahoo Finance,3 hours ago,"AT&T is about to take the first step toward the end of 3G service. On Tuesday, the wireless carrier... ",https://finance.yahoo.com/news/end-3g-t-shut-down-180841521.html?fr=sycsrp_catchall
The 21 Most Stylish iPhone Wallet Cases For Dudes Who Dig Convenience,SPY via Yahoo News,4 days ago,"Like the best AirPods cases, our favorite wallet cases protect our devices and look good... ",https://www.yahoo.com/lifestyle/22-most-stylish-iphone-wallet-190043525.html?fr=sycsrp_catchall
"Forget 120Hz ProMotion on Base iPhone 14, Leak Suggests",The Mac Observer,3 hours ago,The rumor and leak engine has been in full effect surrounding the upcoming 14. Korean... ,https://www.macobserver.com/news/forget-120hz-promotion-on-base-iphone-14-leak-suggests/
Beloved iPhone model 'being killed off this year' and it's bad news for millions,The US Sun,4 days ago,"APPLE is set to kill off a key model this year, according to insiders. The tech giant is set... ",https://www.the-sun.com/tech/4710361/iphone-14-mini-max-screen-size/
How much of a speed boost will the M2 chip bring to the 2022 Macs?,Macworld,1 day ago,"Apple took the basic architecture of the A14 (found in the  ), scaled it up to ultraportable... ",https://www.macworld.com/article/614713/m2-chip-cpu-gpu-speed-performance.html
New Apple Leak Reveals iPhone 14 Design Shock,Forbes,2 days ago,"According to a new report from Engadget Japan, Apple is planning to upgrade both the 14 Pro and 14 Pro Max to 8GB RAM. This is a... ",https://www.forbes.com/sites/gordonkelly/2022/02/20/apple-iphone-14-pro-max-promotion-display-design-upgrade-new-iphone-13-pro-max/
Here's how the AirPods Pro 2's rumored fitness-tracking features could work,Tom's Guide,4 hours ago,"The AirPods Pro 2 have long been rumored to have fitness-tracking capabilities, and we now know have... ",https://www.tomsguide.com/news/heres-how-the-airpods-pro-2s-rumored-fitness-tracking-features-could-work
Best MagSafe chargers in 2022,BGR,3 days ago,"MagSafe has made a big comeback since Apple re-launched it with the release of the  . In this article, we’ll discuss the best MagSafe chargers,... ",https://bgr.com/guides/best-magsafe-chargers/
Best MagSafe chargers in 2022,BGR,3 days ago,"MagSafe has made a big comeback since Apple re-launched it with the release of the  . In this article, we’ll discuss the best MagSafe chargers,... ",https://bgr.com/guides/best-magsafe-chargers/
Samsung Galaxy S22 vs iPhone 13: Which should you buy? | Digital Trends,Digital Trends,6 hours ago,"Samsung just launched its 2022 flagships, the Samsung Galaxy S22, S22 Plus, and S22 Ultra. With... ",https://www.digitaltrends.com/mobile/samsung-galaxy-s22-vs-apple-iphone-13/
iPhone 14 Pro Design Reportedly Finalized As Suppliers Begin Trial Production,MacRumors,15 hours ago,"Apple's largest supplier, Foxconn, has begun trial production of the 14 Pro, suggesting that... ",https://www.macrumors.com/2022/02/21/iphone-14-pro-design-finalized-trial-production/
"The best Apple deals as of Feb. 15: iPad, MacBook, Apple Watch, and more",Mashable via AOL,6 days ago,"UPDATE: Feb. 15, 2022, 11:50 a.m. EST We've updated this post with the latest deals from across the... ",https://www.aol.com/best-apple-deals-sept-14-192709753.html
iPhone users benefit as new report details widespread cellular data speed boost thanks to 5G,9to5Mac,6 days ago,"As 5G spreads around the world, more people have access to faster, low-latency cellular data... ",https://9to5mac.com/2022/02/15/iphone-users-benefit-as-new-report-details-widespread-cellular-data-speed-boost-thanks-to-5g/
Through the Viewfinder: Hitting the slopes,Lancaster Online,8 hours ago,"The XXIV Olympic Winter Games in Beijing, China, conclude today. Back in my younger days, I won a medal or two skiing. This past week, my wife, Bonnie,... ",https://lancasteronline.com/ttv/through-the-viewfinder-hitting-the-slopes/article_dfdef258-90d1-11ec-95c4-0311cead7abd.html
Apple employees finally found a reason why Android phones are better,ZDNet,3 hours ago,"iPhones are completely secure, right? Or are they? Some Apple employees are, apparently, preferring... ",https://www.zdnet.com/article/apple-employees-finally-found-a-reason-why-android-phones-are-better/
"Man shot, robbed in Brooklyn home invasion",New York Daily News,19 hours ago,A woman knocked on the 39-year-old victim’s door on Voorhies Ave. near Shore Pkwy. in Sheepshead Bay about 2 p.m. Saturday claiming he owed “monthly... ,https://www.nydailynews.com/new-york/nyc-crime/ny-man-shot-robbed-brooklyn-home-invasion-20220221-6i6sm57mvjhy3ep3i6hov73rou-story.html
Review: Apple MagSafe Duo Charger,Forbes,16 hours ago,It’s not surprising that people who own an iPhone tend to also own other Apple gadgets including an Apple Watch and AirPods. Combination chargers that... ,https://www.forbes.com/sites/bradmoon/2022/02/21/review-apple-magsafe-duo-charger/
iPhone 14 — here's what Apple can learn from the Samsung Galaxy S22,Tom's Guide,16 hours ago,It's safe to say Apple does not need to take its cues from Samsung when it comes to launching... ,https://www.tomsguide.com/opinion/iphone-14-heres-what-apple-can-learn-from-the-samsung-galaxy-s22
iPhone 14: Redesigned Pro models could have as much RAM as a Galaxy S22 Ultra,Macworld,3 days ago,"Now that the 13 has launched, we are officially on 14 watch. Apple tests many new... ",https://www.macworld.com/article/352696/iphone-14-rumors-specs-design-release-price.html
Violent home invasion in Brooklyn: NYPD,FOX 5 New York,21 hours ago,The search is on for a trio of armed suspects after a violent home invasion in Brooklyn. The NYPD says that around 2 p.m. on Saturday at an apartment on... ,https://www.fox5ny.com/news/violent-home-invasion-in-brooklyn-nypd
New Apple Leak Reveals iPhone 14 Design Shock,Forbes,3 days ago,"LTPS displays were used by older iPhones such as the iPhone X, iPhone 11 and   as well as the standard iPhone 13 and iPhone 13 Mini, all models... ",https://www.forbes.com/sites/gordonkelly/2022/02/19/apple-iphone-14-pro-max-promotion-display-design-upgrade-new-iphone-13-pro-max/
Best MagSafe and Magnetic iPhone Accessories for 2022,CNET,6 days ago,"After its debut in the   models, Apple carried over its MagSafe charging system to the... ",https://www.cnet.com/tech/mobile/best-magsafe-and-magnetic-iphone-accessories/
iOS 15.4 beta 3 and iPadOS 15.4 beta 3 now available on iPhone and iPad,BGR via Yahoo News,6 days ago,"Apple rolled out iOS 15.4 beta 3 and iPadOS 15.4 beta 3 on Tuesday, February 15th. As soon as we... ",https://www.yahoo.com/entertainment/ios-15-beta-8-ipados-171023238.html?fr=sycsrp_catchall
Your M1 Mac might soon start to feel old | ZDNet,ZDNet,5 hours ago,"Apple, never a company to sit still, looks set to continue to push new Macs powered by updated Apple Silicon chips out of the door over the course of... ",https://www.zdnet.com/article/your-m1-mac-might-soon-start-to-feel-old/
What '1X' Means On Your iPhone Camera,Screen Rant,6 days ago,camera app can be confusing if upgrading. ,https://screenrant.com/iphone-camera-app-1x-setting-meaning/
